,메뉴목록
0,불닭고구마 스퀘어 피자
1,이디야 단백질바(초코쿠키)
2,비타민바(그릭요거트)
3,초코프레첼 미니
4,꿀오란다
5,쌍쌍 츄로스
6,초콜릿 디핑
7,생딸기 연유 브레드
8,생딸기 와플
9,생딸기 크로플
10,토피넛 크로플
11,토피넛 꽈루아상
12,플레인 크로플
13,플레인 꽈루아상
14,크리미초코 감자쿠키
15,크리미치즈 그레인쿠키
16,고구마 말랭이
17,미니 코코 크런치
18,바닐라 웨이퍼스
19,미니프레첼 볶음양념맛
20,미니프레첼 와사비맛
21,아이스콘 초코
22,아이스콘 요구르트
23,그릴드 치킨 샐러드 & 시저 드레싱
24,두부텐더 콥샐러드
25,매콤 로제 구운주먹밥
26,까르보나라 구운주먹밥
27,양송이 수프
28,콘 수프
29,초코렛청크 쿠키
30,화이트초코 마카다미아 쿠키
31,클래식 미니 스콘
32,초콜릿 브라우니
33,아이스크림 호떡
34,꿀호떡
35,초콜릿 마카롱
36,산딸기 마카롱
37,바닐라 마카롱
38,이너츠
39,베이컨 포테이토 스퀘어 피자
40,허니 고르곤졸라 스퀘어 피자
41,햄앤치즈샌드위치
42,피넛버터앤딸기잼 샌드위치
43,팥앤크림 샌드위치
44,에그 베이컨 과카몰리 샌드위치
45,페퍼로니 피자 샌드위치
46,스트로베리 치즈 마카롱
47,얼그레이 쇼콜라 마카롱
48,쿠키 앤 크림 마카롱
49,초코 티라미수
50,수플레 치즈 케이크
51,데블스 초코 케이크
52,떠먹는 티라미수
53,더블 치즈 케이크
54,밀크레이프 케이크
55,마스카포네 티라미수
56,레몬 마스카포네
57,블루베리 크림치즈
58,핫치킨 브리또
59,소고기 브리또
60,메이플 넛 브레드
61,허니 카라멜 브레드
62,갈릭 치즈 브레드
63,생크림 와플
64,플레인 와플
65,달고나 아이스크림 와플
66,메이플 와플
67,크림치즈 와플
68,크로크 무슈
69,잉글리쉬 머핀
70,크루아상
71,핫 치즈 번
72,오리지널 핫 번
73,프레즐
74,블루베리 베이글
75,플레인 베이글
76,어니언 베이글
77,이디야 티라미수
78,플레인 치즈 스틱케익
79,블루베리 치즈 스틱케익
80,스노우 쿠키슈
81,초코칩 머핀
82,크림치즈 머핀
83,블루베리 머핀
84,달고나 믹스치노
85,달고나 믹스치노
86,모카칩 믹스치노
87,모카칩 믹스치노
88,믹스라떼
89,버블믹스라떼
90,망고패션 요거놀라 1인빙수
91,딸기피치 요거놀라 1인빙수
92,이디야 워터
93,생과일 토마토주스
94,생과일 토마토주스
