,이름,형태소
0,아이스,NNG
1,아메리카노,NNG
2,하나,NNG
3,테이크아웃,NNG
4,텀블러,NNG
5,할인,NNG
6,300원,NNG
7,그란데,NNG
8,사이즈,NNG
9,적립카드,NNG
10,쿠폰,NNG
11,결제,NNG
12,현금영수증,NNG
13,대기,NNG
14,카푸치노,NNG
15,주문,NNG
16,시럽,NNG
17,얼마나,NNG
18,3번,NNG
19,위,NNG
20,크림,NNG
21,이벤트,NNG
22,커피,NNG
23,2000원,NNG
24,추가,NNG
25,브레드,NNG
26,도장,NNG
27,기프티콘,NNG
28,사용,NNG
29,가능,NNG
30,키프티콘,NNG
31,자바칩,NNG
32,프라푸치노,NNG
33,휘핑,NNG
34,6600원,NNG
35,번호,NNG
36,입력,NNG
37,한,NNG
38,잔,NNG
39,라떼,NNG
40,중간,NNG
41,테이크,NNG
42,아웃,NNG
43,카운터,NNG
44,스콘,NNG
45,3개,NNG
46,개인컵,NNG
47,음료,NNG
48,빵,NNG
49,추천,NNG
50,호두,NNG
51,베이글,NNG
52,모바일,NNG
53,화장실,NNG
54,오른쪽,NNG
55,벽,NNG
56,제일,NNG
57,라이트,NNG
58,맛,NNG
59,가게,NNG
60,마스코트,NNG
61,메뉴,NNG
62,카페라떼,NNG
63,10개,NNG
64,자리,NNG
65,톨,NNG
66,멤버십,NNG
67,3600원,NNG
68,진동밸,NNG
69,주문번호,NNG
70,와이파이,NNG
71,비밀번호,NNG
72,영수증,NNG
73,하단,NNG
74,계절메뉴,NNG
75,배달,NNG
76,배달비,NNG
77,3000원,NNG
78,콘센트,NNG
79,샷,NNG
80,밀크티,NNG
81,우유,NNG
82,분말,NNG
83,홍차,NNG
84,종류,NNG
85,루이보스,NNG
86,알쌈,NNG
87,두,NNG
88,개,NNG
89,값,NNG
90,취소,NNG
91,무료,NNG
92,2명,NNG
93,창가,NNG
94,따뜻한,NNG
95,물,NNG
96,2500원,NNG
97,사이즈업,NNG
98,뜨거운,NNG
99,빅,NNG
100,스몰,NNG
101,5분,NNG
102,얼마,NNG
103,14500원,NNG
104,조각,NNG
105,케이크,NNG
106,500원,NNG
107,치즈케이크,NNG
108,삼성페이,NNG
109,디카페인,NNG
110,기본,NNG
111,2종류,NNG
112,카카오,NNG
113,페이,NNG
114,포인트,NNG
115,적립,NNG
116,양,NNG
117,숏,NNG
118,콰테말라,NNG
119,페퍼민트,NNG
120,티,NNG
121,판매,NNG
122,머핀,NNG
123,블루베리,NNG
124,현금,NNG
125,둘,NNG
126,환경정책,NNG
127,머그잔,NNG
128,8000원,NNG
129,아아,NNG
130,10분,NNG
131,내,NNG
132,아이리시,NNG
133,캐리어,NNG
134,2개,NNG
135,이상,NNG
136,실내,NNG
137,일회용,NNG
138,현재,NNG
139,법적,NNG
140,금지,NNG
141,사람,NNG
142,매장,NNG
143,1인,NNG
144,1잔,NNG
145,쿠키,NNG
146,프라페,NNG
147,4천,NNG
148,원,NNG
149,허니브레드,NNG
150,7천,NNG
151,포장,NNG
152,헤이즐넛,NNG
153,조금,NNG
154,머그컵,NNG
155,카페라테,NNG
156,컵사이즈,NNG
157,큰,NNG
158,어니언,NNG
159,플레인,NNG
160,,NNG
161,5000원,NNG
162,오천,NNG
163,진동벨,NNG
164,4000원,NNG
165,몇,NNG
166,세,NNG
167,4500원,NNG
168,바닐라라테,NNG
169,자몽에이드,NNG
170,6000원,NNG
171,생크림,NNG
172,과일,NNG
173,휘핑크림,NNG
174,안,NNG
175,카드,NNG
176,결제수단,NNG
177,새벽,NNG
178,영업,NNG
179,24시간,NNG
180,라지,NNG
181,복도,NNG
182,종이,NNG
183,딸기,NNG
184,스무디,NNG
185,재료,NNG
186,라테,NNG
187,시즌,NNG
188,오늘,NNG
189,프리퀀시,NNG
190,구성,NNG
191,세트,NNG
192,치즈,NNG
193,불가능,NNG
194,대체,NNG
195,두유,NNG
196,변경,NNG
197,여기,NNG
198,분,NNG
199,7분,NNG
200,2층,NNG
201,카페인,NNG
202,플레인스무디,NNG
203,딸기스무디,NNG
204,키위스무디,NNG
205,생과일,NNG
206,냉동제품,NNG
207,키위,NNG
